Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime
PI040307AD5I204576,21.303,48.172,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_0kcj8bms,2018-08-08T12:14:54.000Z,2018-10-03T11:14:54.000Z
PI040307AD5I202768,21.301,48.172,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_yqc7rvzw,2018-08-08T10:53:18.000Z,2018-11-29T10:45:26.000Z
PI040307AD5I203692,21.301,48.172,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_sz0d0mdx,2018-08-08T10:56:19.000Z,2019-09-10T12:46:35.000Z
PI040307AD5I203600,21.279,48.194,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7a5m3d33,2018-08-08T11:03:49.000Z,2019-06-06T09:11:02.000Z
PI040307AD5G201670,21.307,48.17,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_afgtm35h,2018-08-03T13:12:35.000Z,2019-09-10T12:56:32.000Z
PI040307AD5G200415,21.302,48.17,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pgpapj5z,2018-07-25T10:14:28.000Z,2019-03-26T10:46:14.000Z
PI040297AD5J210461,21.302,48.166,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rtxtakc4,2018-07-25T12:32:33.000Z,2019-09-05T10:52:09.000Z
PI040307AD5I203016,21.301,48.175,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ft4w9dgt,2018-08-08T10:52:09.000Z,2019-03-26T10:34:07.000Z
PI040307AD5I204664,21.302,48.17,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_exmyvy4q,2018-08-08T12:33:34.000Z,2019-06-06T09:06:18.000Z
PI040307AD5I203863,21.304,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_716p58f0,2018-07-25T10:41:05.000Z,2019-09-05T09:52:54.000Z
PI040307AD5I203095,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qamm88fn,2018-08-08T11:07:59.000Z,2018-10-03T12:49:03.000Z
PI040307AD5I204257,21.303,48.169,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_yvnfegzb,2018-07-25T11:20:48.000Z,2019-03-26T11:34:43.000Z
PI040307AD5I203591,21.302,48.172,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_cepd6wza,2018-08-08T10:52:58.000Z,2019-01-28T11:28:44.000Z
PI040307AD5I202907,21.192,48.153,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_2x252s62,2018-10-02T12:27:13.000Z,2019-01-28T10:40:30.000Z
PI040307AD5G200594,21.303,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9wezr2cw,2018-07-25T10:17:20.000Z,2019-09-05T10:00:20.000Z
PI040307AD5I202940,21.303,48.171,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8xzshe6t,2018-08-08T10:53:46.000Z,2019-09-10T12:43:38.000Z
PI040298AD5I211894,6.394,49.728,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_n5y2xtm9,2018-07-15T13:24:52.000Z,2018-09-22T08:15:23.000Z
PI040298AD5I212460,6.393,49.729,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_wammxy4c,2018-07-15T12:23:53.000Z,2019-10-25T17:49:20.000Z
PI040297AD5J210492,21.3,48.166,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_x72jjx0e,2018-09-20T12:45:49.000Z,2019-03-26T09:39:19.000Z
PI040307AD5I204622,21.301,48.166,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_3zkynscc,2018-07-25T12:22:51.000Z,2019-06-06T11:32:59.000Z
PI040307AD5I203538,21.3,48.166,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_62pm457k,2018-10-01T07:16:50.000Z,2019-09-10T12:48:32.000Z
PI040298AD5I207111,21.3,48.166,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qs16qmcz,2018-09-20T13:02:39.000Z,2019-09-10T14:51:43.000Z
PI040307AD5I204779,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_1c1x2cf1,2018-07-25T12:21:44.000Z,2019-06-06T11:28:24.000Z
PI040307AD5I204092,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6whszmqq,2018-07-23T10:45:07.000Z,2018-09-03T11:57:36.000Z
"PI040307AD5I203121. FuturePractice:,Id:380,LandCoverOverlay:,LandCoverTypes:[Additional:[Fruit and nut trees (incl. olives),Other broad leaved and coniferous trees],Cover:< 5%,Id:4054,Name:Trees,Additional:[Fruiting shrubs (incl. grapevines),Other shrubs],Cover:11-25%,Id:4055,Name:Shrubs,Additional:[],Cover:26-50%,Id:4056,Name:Vegetables and crops, herbs and ornamentals,Additional:[],Cover:11-25%,Id:4057,Name:Other ground covering plants (weeds, grasses),Additional:[],Cover:< 5%,Id:4059,Name:Sealed surfaces (roads, buildings)],LandManagement:,LandUseArea:Village,LandUseSpot:Garden area,Latitude:48.51674,Longitude:20.6819057,ParcelSize:0.01  0.5 ha,Photos:,SensorId:MIS_VV_C506,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:true,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-17T15:23:50.183941+00:",20.772,48.187,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7m88yk6y,2018-09-27T15:36:40.000Z,2019-04-19T06:18:29.000Z
PI040298AA3I000471,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_t7dkzedz,2018-01-18T15:33:22.000Z,2019-06-05T06:00:12.000Z
PI040307AD5G201170,21.298,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_kz969k4h,2018-07-25T09:35:11.000Z,2019-03-26T10:11:20.000Z
PI040307AD5G200268,21.299,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_arvmm8qk,2018-09-20T12:10:29.000Z,2019-09-10T12:59:37.000Z
PI040307AD5G201954,21.3,48.167,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qp3x1sad,2018-09-04T07:12:00.000Z,2019-09-10T12:39:17.000Z
PI040298AD5I208522,21.299,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_bvgmq255,2018-07-25T10:28:48.000Z,2019-09-10T14:41:41.000Z
PI040307AD5I203656,21.299,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_zp25ne9p,2018-07-31T07:51:09.000Z,2019-06-06T09:52:20.000Z
PI040307AD5I204234,21.299,48.169,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_4xsbztff,2018-07-25T09:30:00.000Z,2019-09-10T14:53:32.000Z
PI040307AD5G202302,21.299,48.169,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_66gtk1d1,2018-07-25T11:48:54.000Z,2019-09-10T14:42:58.000Z
PI040297AD5J210300,21.298,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_n1cm7xhz,2018-10-05T12:27:57.000Z,2019-06-06T09:50:42.000Z
PI040298AD5I213909,21.299,48.168,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9hbn3ybe,2018-07-25T09:25:46.000Z,2019-09-11T06:11:20.000Z
PI040297AD5J210391,21.3,48.167,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5189dkz3,2018-07-25T10:02:22.000Z,2019-06-06T10:12:48.000Z
PI040297AD5J210913,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_z1fa4njf,2018-10-05T14:10:42.000Z,2018-10-05T14:55:43.000Z
"PI040297AD5I205794. FuturePractice:,Id:331,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:46.43609,Longitude:19.621006,ParcelSize:,Photos:,SensorId:MIS_SZZ_CB1D,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-09-29T13:58:32.600852+00:",19.621,46.436,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vjt6zzmx,2018-09-29T13:34:53.000Z,2018-11-04T13:10:01.000Z
PI040307AD5G201438,16.521,46.944,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_yabc5561,2018-10-06T15:28:24.000Z,2019-10-19T11:01:43.000Z
PI040298AD5I206142,6.234,49.563,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_39cc0262,2018-06-25T19:42:55.000Z,2019-09-13T11:12:05.000Z
PI040298AD5I211545,6.134,49.647,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7hx49zev,2018-06-26T04:47:46.000Z,2019-03-08T08:05:43.000Z
PI040298AD5I212411,15.148,48.155,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_tjfgg1gf,2018-07-05T07:42:16.000Z,2019-09-02T07:34:43.000Z
PI040298AD5I207853,6.132,49.602,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_zyk3tab8,2018-09-29T17:12:45.000Z,2019-10-03T09:44:09.000Z
PI040298AA4A043855,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8bq7vj6p,2018-09-07T16:35:47.000Z,2019-06-02T07:25:00.000Z
PI040298AA3I002306,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qq79x5yv,2018-10-08T13:11:48.000Z,2019-05-15T04:48:47.000Z
PI040297AD5J211078,19.362,47.594,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_jm8x6tft,2018-10-03T14:50:44.000Z,2019-06-25T07:18:06.000Z
PI040298AD5I212290,19.362,47.594,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_167wbcre,2018-10-03T14:12:15.000Z,2019-02-13T15:21:42.000Z
PI040297AD5I209049,15.762,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_r2h8qc5g,2018-09-03T08:51:58.000Z,2019-02-28T14:14:54.000Z
"PI040297AD5I209126. FuturePractice:,Id:387,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:ATL_LEG_S02,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-30T07:51:38.722624+00:",15.761,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xnng8rk7,2018-09-03T09:12:46.000Z,2018-12-21T10:10:05.000Z
"PI040297AD5I203869. FuturePractice:,Id:396,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:ATL_LEG_S11,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-30T08:06:21.328419+00:",15.761,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xhc15f2v,2018-09-03T09:32:18.000Z,2018-12-17T10:14:53.000Z
PI040297AD5I208626,15.761,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fhayq0bg,2018-09-03T09:56:41.000Z,2019-10-30T16:43:12.000Z
PI040297AD5I208642,15.76,48.053,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8t6wny88,2018-09-13T12:54:14.000Z,2019-10-30T17:01:01.000Z
PI040297AD5I209000,15.759,48.053,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_e9gxqnkg,2018-09-13T12:41:49.000Z,2019-10-30T17:01:27.000Z
"PI040297AD5I205895. FuturePractice:,Id:395,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:ATL_LEG_S10,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-30T08:05:25.95794+00:",15.761,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_4s3qr7de,2018-09-03T09:23:26.000Z,2018-12-17T10:20:23.000Z
PI040297AD5I208969,15.761,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8f9wyr4g,2018-09-03T10:10:39.000Z,2019-10-30T16:52:27.000Z
PI040297AD5I208662,15.759,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_f9kxg6xb,2018-09-13T13:29:46.000Z,2018-12-18T09:12:52.000Z
PI040297AD5I202860,15.759,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_wdrjj197,2018-09-13T13:09:04.000Z,2019-10-30T17:01:52.000Z
PI040297AD5I209434,15.759,48.053,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9q9gbwtn,2018-09-13T13:01:30.000Z,2019-08-08T15:24:18.000Z
PI040297AD5I205824,15.76,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_38vrbphb,2018-09-03T09:46:33.000Z,2019-08-08T15:40:34.000Z
PI040297AD5I209067,15.76,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_w7b6j8gd,2018-09-13T12:58:29.000Z,2019-10-30T16:54:41.000Z
PI040297AD5I208660,15.76,48.053,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_amttg8ew,2018-09-13T12:44:21.000Z,2019-10-30T16:47:44.000Z
PI040297AD5I207359,15.76,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_wvn8t20j,2018-09-13T12:55:28.000Z,2019-08-08T15:02:28.000Z
PI040297AD5I207548,15.759,48.051,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_tg7wq1ev,2018-09-13T13:23:00.000Z,2019-03-06T09:29:24.000Z
PI040297AD5I206035,15.759,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hv6j3zvn,2018-09-13T13:17:13.000Z,2019-10-30T16:51:20.000Z
PI040297AD5I205528,15.76,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_2tr50vg7,2018-09-13T13:26:32.000Z,2019-10-30T16:47:12.000Z
"PI040297AD5I202719. FuturePractice:,Id:525,LandCoverOverlay:,LandCoverTypes:[Additional:[Fruit and nut trees (incl. olives)],Cover:< 5%,Id:4054,Name:Trees,Additional:[],Cover:76-90%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Field or grazing pasture,Latitude:36.9230156,Longitude:22.6938171,ParcelSize:1  5 ha,Photos:,SensorId:20,SensorMissionManagement:true,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-02-01T10:10:18.92393+00:",15.76,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_19zm1gt2,2018-09-13T12:45:52.000Z,2019-10-30T16:56:58.000Z
PI040297AD5I208926,15.759,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7vm2wp1k,2018-09-13T13:20:16.000Z,2018-12-18T09:45:03.000Z
"PI040297AD5I204851. FuturePractice:,Id:397,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:ATL_LEG_S12,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-30T08:07:08.884423+00:",15.761,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_c5e2amwa,2018-09-03T09:26:23.000Z,2018-12-17T10:23:50.000Z
PI040297AD5I209071,15.761,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_de2y10yz,2018-09-03T10:06:08.000Z,2019-10-30T16:46:24.000Z
PI040297AD5I205863,15.761,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hs1608xv,2018-09-03T09:55:02.000Z,2019-07-29T13:26:51.000Z
PI040297AD5I210136,15.759,48.052,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_kef3am3h,2018-09-13T13:08:51.000Z,2019-10-30T16:41:59.000Z
PI040297AD5I207137,15.154,48.151,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qjmrcyhx,2017-07-20T19:21:20.000Z,2019-09-06T12:17:23.000Z
PI040297AA3J002129,21.351,47.961,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_h7177e2r,2018-10-06T06:02:53.000Z,2019-10-12T11:28:38.000Z
PI040298AD5I211485,6.26,49.633,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8xwq2rst,2018-08-17T09:33:55.000Z,2018-09-26T05:01:25.000Z
PI040298AD5I211650,6.26,49.633,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xrk5k8fb,2018-08-17T09:23:30.000Z,2019-10-25T11:56:46.000Z
PI040298AD5I213898,16.613,47.695,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_1p5wft0h,2018-09-23T14:50:13.000Z,2019-05-17T14:00:06.000Z
PI040298AD5I206717,16.89,46.33,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rtj18pcd,2018-09-30T12:50:16.000Z,2018-10-14T07:34:17.000Z
PI040298AD5I205835,15.148,48.155,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_aqes11w2,2018-07-05T07:46:12.000Z,2019-06-07T09:12:22.000Z
PI040307AD5I202774,17.238,46.747,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6e7fec0v,2018-10-02T14:20:35.000Z,2019-08-29T05:49:18.000Z
PI040298AD5I208529,15.148,48.155,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_yt99az50,2018-07-05T07:21:54.000Z,2019-09-02T07:34:23.000Z
PI040307AA4D026308,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_zattbdxr,2018-10-17T15:22:07.000Z,2018-10-17T15:37:07.000Z
PI040297AD5I207618,15.759,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_v4ps38nn,2018-09-27T13:04:27.000Z,2019-08-08T15:43:33.000Z
PI040297AD5I207791,15.758,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vpzcbtma,2018-09-27T12:10:17.000Z,2019-10-30T16:45:13.000Z
PI040297AD5I209021,15.758,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_2ykdpn8r,2018-09-27T13:01:53.000Z,2019-10-30T16:44:55.000Z
PI040297AD5I206024,15.758,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_kwcgy8ym,2018-09-27T12:07:15.000Z,2019-10-30T16:43:55.000Z
PI040297AD5I208087,15.76,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_c23fddhq,2018-09-27T14:02:06.000Z,2018-10-17T15:00:52.000Z
PI040297AD5I208955,15.758,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_kb9q18sy,2018-09-27T12:40:55.000Z,2019-10-30T17:02:31.000Z
PI040297AD5I208940,15.758,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rwj3typs,2018-09-27T13:13:10.000Z,2019-10-30T17:01:25.000Z
PI040297AD5I208091,15.759,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_d9nc6ffr,2018-09-27T13:03:04.000Z,2019-03-01T10:42:32.000Z
PI040297AD5I206239,15.76,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pw29tqrh,2018-09-27T14:06:07.000Z,2018-10-17T14:49:49.000Z
PI040297AD5I207089,15.758,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_bx3hdcgr,2018-09-27T12:20:57.000Z,2019-10-30T16:51:33.000Z
PI040297AD5I206030,15.759,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ppfq9q8k,2018-09-27T13:37:45.000Z,2019-10-30T16:55:28.000Z
PI040297AD5I208084,15.758,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_gwshj0d9,2018-09-27T13:07:30.000Z,2019-08-08T13:53:58.000Z
PI040297AD5I206063,15.758,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_zp4nshvn,2018-09-27T13:02:40.000Z,2019-01-22T09:58:13.000Z
PI040297AD5I206715,15.758,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_btmmx0zd,2018-09-27T12:19:36.000Z,2019-08-08T15:38:36.000Z
PI040297AD5I209020,15.759,48.054,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_31vygn1a,2018-09-27T13:32:01.000Z,2019-03-06T08:12:50.000Z
PI040297AD5I210087,15.758,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_1g33zshr,2018-09-27T12:05:24.000Z,2019-10-30T16:56:08.000Z
PI040297AD5I204010,15.76,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_3q5b22rz,2018-09-27T12:58:29.000Z,2019-03-11T10:21:02.000Z
PI040297AD5I208028,15.758,48.055,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_g8zqd4de,2018-09-27T12:26:07.000Z,2019-10-30T16:41:45.000Z
PI040297AD5I208472,15.759,48.056,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qxvhe4qt,2018-09-27T13:50:25.000Z,2019-10-30T16:44:31.000Z
PI040298AD5G200582,6.235,49.563,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_tndajnwt,2018-10-16T11:33:22.000Z,2019-10-17T12:37:19.000Z
PI040298AD5I207839,5.861,49.783,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_f9t223x5,2018-11-09T16:30:23.000Z,2019-07-17T17:59:25.000Z
PI040298AD5I212807,6.114,49.856,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_sdsc7n3s,2018-11-22T16:38:21.000Z,2019-06-03T16:55:44.000Z
PI040307AD5I203511,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_m82akqcq,2018-11-12T15:14:35.000Z,2019-01-12T06:39:17.000Z
PI040307AD5I203687,20.732,48.534,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_g3vs1p6d,2018-11-20T20:31:37.000Z,2019-08-10T13:09:32.000Z
PI040307AD5I204378,20.731,48.533,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_grvqy1ef,2018-11-20T20:31:56.000Z,2019-08-11T11:36:22.000Z
PI040307AD5I204657,20.732,48.534,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_cp44549h,2018-11-20T20:32:07.000Z,2019-08-11T12:48:22.000Z
PI040298AD5I213019,-8.499,37.129,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_j1gqgz6c,2018-11-22T09:41:03.000Z,2019-09-05T19:52:56.000Z
PI040298AD5I210901,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_jq3kv1qk,2018-11-24T17:17:31.000Z,2019-06-30T19:21:19.000Z
"PI040297AD5J211055. FuturePractice:,Id:411,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:MIS_TZ_B1E6,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-11-28T19:16:33.826881+00:",0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vhg2hhky,2018-11-21T12:08:36.000Z,2018-11-26T14:53:36.000Z
PI040307AD5G202473,20.631,47.886,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_w2tbdvwy,2018-10-18T09:39:50.000Z,2019-08-12T10:26:11.000Z
